Question,Answer Disease,Answer Index,Number of Symptoms,MedicalLlama3_8B_Answer,extracted,check
"A patient is presenting with the following symptoms: Skin growth, Skin swelling, Skin lesion, Abnormal appearing skin, Neck mass, Back mass or lump. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Overflow incontinence 2) West Nile virus 3) Sebaceous cyst 4) Lactose intolerance",Sebaceous cyst,3,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Skin growth, Skin swelling, Skin lesion, Abnormal appearing skin, Neck mass, Back mass or lump. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Overflow incontinence 2) West Nile virus 3) Sebaceous cyst 4) Lactose intolerance
Answer: 3
Explanation: The patient is presenting with a skin growth, which is a common symptom of sebaceous cysts. Sebaceous cysts are benign skin growths that can occur anywhere on the body, but are most commonly found on the scalp",3,same
"A patient is presenting with the following symptoms: Skin growth, Skin swelling, Skin lesion, Abnormal appearing skin, Neck mass, Back mass or lump. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) West Nile virus 2) Overflow incontinence 3) Lactose intolerance 4) Sebaceous cyst",Sebaceous cyst,4,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Skin growth, Skin swelling, Skin lesion, Abnormal appearing skin, Neck mass, Back mass or lump. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) West Nile virus 2) Overflow incontinence 3) Lactose intolerance 4) Sebaceous cyst
Answer: 4
Explanation: The patient is presenting with a skin growth, which is a common symptom of sebaceous cyst. The other symptoms are not consistent with any of the other diseases listed. Therefore, the most likely diagnosis is sebaceous cyst.",4,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depressive or psychotic symptoms, Depression, Delusions or hallucinations, Sleepiness, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Poisoning due to antipsychotics 2) Inguinal hernia 3) Whooping cough 4) Idiopathic irregular menstrual cycle",Poisoning due to antipsychotics,1,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Anxiety and nervousness, Depressive or psychotic symptoms, Depression, Delusions or hallucinations, Sleepiness, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Poisoning due to antipsychotics 2) Inguinal hernia 3) Whooping cough 4) Idiopathic irregular menstrual cycle
Answer: 1
Explanation: The patient is presenting with symptoms of anxiety and nervousness, depressive or psychotic symptoms, depression, delusions or hallucinations, sleepiness, and dizziness. These symptoms are suggestive of poisoning due to antipsychotics.",1,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depressive or psychotic symptoms, Depression, Delusions or hallucinations, Sleepiness, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Idiopathic irregular menstrual cycle 2) Poisoning due to antipsychotics 3) Inguinal hernia 4) Whooping cough",Poisoning due to antipsychotics,2,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Anxiety and nervousness, Depressive or psychotic symptoms, Depression, Delusions or hallucinations, Sleepiness, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Idiopathic irregular menstrual cycle 2) Poisoning due to antipsychotics 3) Inguinal hernia 4) Whooping cough
Answer: 2
Explanation: The patient is presenting with symptoms of anxiety and nervousness, depressive or psychotic symptoms, depression, delusions or hallucinations, sleepiness, and dizziness. These symptoms are suggestive of poisoning due to antipsychotics.",2,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depressive or psychotic symptoms, Depression, Delusions or hallucinations, Sleepiness, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Inguinal hernia 2) Whooping cough 3) Poisoning due to antipsychotics 4) Idiopathic irregular menstrual cycle",Poisoning due to antipsychotics,3,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Anxiety and nervousness, Depressive or psychotic symptoms, Depression, Delusions or hallucinations, Sleepiness, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Inguinal hernia 2) Whooping cough 3) Poisoning due to antipsychotics 4) Idiopathic irregular menstrual cycle
Answer: 3
Explanation: The patient is presenting with symptoms of anxiety and nervousness, depressive or psychotic symptoms, depression, delusions or hallucinations, sleepiness, and dizziness. These symptoms are suggestive of poisoning due to antipsychotics.",3,same
"A patient is presenting with the following symptoms: Anxiety and nervousness, Depressive or psychotic symptoms, Depression, Delusions or hallucinations, Sleepiness, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Inguinal hernia 2) Whooping cough 3) Idiopathic irregular menstrual cycle 4) Poisoning due to antipsychotics",Poisoning due to antipsychotics,4,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Anxiety and nervousness, Depressive or psychotic symptoms, Depression, Delusions or hallucinations, Sleepiness, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Inguinal hernia 2) Whooping cough 3) Idiopathic irregular menstrual cycle 4) Poisoning due to antipsychotics
Answer: 4
Explanation: The patient is presenting with symptoms of anxiety and nervousness, depressive or psychotic symptoms, depression, delusions or hallucinations, sleepiness, and dizziness. These symptoms are suggestive of poisoning due to antipsychotics.",4,same
"A patient is presenting with the following symptoms: Vomiting, Upper abdominal pain, Sharp abdominal pain, Diarrhea, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Behcet disease 2) Premature atrial contractions (PACs) 3) Onychomycosis 4) Thoracic outlet syndrome",Behcet disease,1,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Vomiting, Upper abdominal pain, Sharp abdominal pain, Diarrhea, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Behcet disease 2) Premature atrial contractions (PACs) 3) Onychomycosis 4) Thoracic outlet syndrome
Answer: 1
Explanation: Behcet disease is a rare, chronic, inflammatory disorder that can affect multiple organs, including the skin, eyes, mouth, and joints. It is characterized by recurrent episodes of oral ulcers, genital ulcers, and",1,same
"A patient is presenting with the following symptoms: Vomiting, Upper abdominal pain, Sharp abdominal pain, Diarrhea, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Premature atrial contractions (PACs) 2) Behcet disease 3) Onychomycosis 4) Thoracic outlet syndrome",Behcet disease,2,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Vomiting, Upper abdominal pain, Sharp abdominal pain, Diarrhea, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Premature atrial contractions (PACs) 2) Behcet disease 3) Onychomycosis 4) Thoracic outlet syndrome
Answer: 2
Explanation: Behcet disease is a rare, chronic, inflammatory disorder that can affect multiple organs. It is characterized by recurrent oral ulcers, genital ulcers, and eye lesions. The disease is more common in men than women,",2,same
"A patient is presenting with the following symptoms: Vomiting, Upper abdominal pain, Sharp abdominal pain, Diarrhea, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Thoracic outlet syndrome 2) Premature atrial contractions (PACs) 3) Behcet disease 4) Onychomycosis",Behcet disease,3,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Vomiting, Upper abdominal pain, Sharp abdominal pain, Diarrhea, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Thoracic outlet syndrome 2) Premature atrial contractions (PACs) 3) Behcet disease 4) Onychomycosis
Answer: 3
Explanation: Behcet disease is a rare, chronic, inflammatory disorder that can affect multiple organs, including the skin, eyes, mouth, and joints. It is characterized by the presence of recurrent oral ulcers, genital ulcers,",3,same
"A patient is presenting with the following symptoms: Vomiting, Upper abdominal pain, Sharp abdominal pain, Diarrhea, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Thoracic outlet syndrome 2) Onychomycosis 3) Premature atrial contractions (PACs) 4) Behcet disease",Behcet disease,4,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Vomiting, Upper abdominal pain, Sharp abdominal pain, Diarrhea, Depression, Anxiety and nervousness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Thoracic outlet syndrome 2) Onychomycosis 3) Premature atrial contractions (PACs) 4) Behcet disease
Answer: 3
Explanation: The patient is presenting with symptoms of PACs, which are premature heartbeats that originate from the atrium. These symptoms include palpitations, lightheadedness, and chest pain. The other options are not consistent",3,different
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Anxiety and nervousness, Hostile behavior, Delusions or hallucinations, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Neurosis 2) Fracture of the patella 3) Otosclerosis 4) Acariasis",Neurosis,1,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Anxiety and nervousness, Hostile behavior, Delusions or hallucinations, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Neurosis 2) Fracture of the patella 3) Otosclerosis 4) Acariasis
Answer: 1
Explanation: The patient is presenting with symptoms of depression, anxiety, and hostile behavior. These symptoms are suggestive of a neurosis, which is a type of mental disorder characterized by emotional distress and maladaptive behaviors. The other options are not",1,same
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Anxiety and nervousness, Hostile behavior, Delusions or hallucinations, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Otosclerosis 2) Neurosis 3) Acariasis 4) Fracture of the patella",Neurosis,2,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Anxiety and nervousness, Hostile behavior, Delusions or hallucinations, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Otosclerosis 2) Neurosis 3) Acariasis 4) Fracture of the patella
Answer: 2
Explanation: The patient is presenting with symptoms of depression, anxiety, and hostile behavior. These symptoms are suggestive of a mental disorder, such as neurosis. Neurosis is a mental disorder characterized by anxiety, depression, and other emotional disturbances",2,same
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Anxiety and nervousness, Hostile behavior, Delusions or hallucinations, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the patella 2) Acariasis 3) Neurosis 4) Otosclerosis",Neurosis,3,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Anxiety and nervousness, Hostile behavior, Delusions or hallucinations, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the patella 2) Acariasis 3) Neurosis 4) Otosclerosis
Answer: 3
Explanation: The patient is presenting with symptoms of depression, anxiety, and hostile behavior. These symptoms are consistent with a diagnosis of neurosis. Neurosis is a mental disorder characterized by anxiety, depression, and other negative emotions. It is",3,same
"A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Anxiety and nervousness, Hostile behavior, Delusions or hallucinations, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acariasis 2) Otosclerosis 3) Fracture of the patella 4) Neurosis",Neurosis,4,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Depressive or psychotic symptoms, Depression, Anxiety and nervousness, Hostile behavior, Delusions or hallucinations, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acariasis 2) Otosclerosis 3) Fracture of the patella 4) Neurosis
Answer: 4
Explanation: The patient is presenting with symptoms of depression, anxiety, and hostile behavior. These symptoms are consistent with a diagnosis of neurosis. Acariasis is a parasitic infection caused by the mite Acarus. Otosclerosis",4,same
"A patient is presenting with the following symptoms: Retention of urine, Blood in urine, Symptoms of prostate, Frequent urination, Involuntary urination, Impotence. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Prostate cancer 2) Spontaneous abortion 3) Chronic back pain 4) Systemic lupus erythematosis (SLE)",Prostate cancer,1,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Retention of urine, Blood in urine, Symptoms of prostate, Frequent urination, Involuntary urination, Impotence. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Prostate cancer 2) Spontaneous abortion 3) Chronic back pain 4) Systemic lupus erythematosis (SLE)
Answer: 1) Prostate cancer
Explanation: The patient is presenting with symptoms of prostate cancer. Prostate cancer is a malignant tumor of the prostate gland. It is the most common cancer in men. The symptoms of prostate cancer include: Retention of",1,same
"A patient is presenting with the following symptoms: Retention of urine, Blood in urine, Symptoms of prostate, Frequent urination, Involuntary urination, Impotence. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic back pain 2) Prostate cancer 3) Spontaneous abortion 4) Systemic lupus erythematosis (SLE)",Prostate cancer,2,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Retention of urine, Blood in urine, Symptoms of prostate, Frequent urination, Involuntary urination, Impotence. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic back pain 2) Prostate cancer 3) Spontaneous abortion 4) Systemic lupus erythematosis (SLE)
Answer: Prostate cancer
Explanation: Prostate cancer is a common disease that affects the prostate gland, a small gland in the male reproductive system. It is the most common cancer in men, and it is estimated that one in every 10 men will develop",2,same
"A patient is presenting with the following symptoms: Retention of urine, Blood in urine, Symptoms of prostate, Frequent urination, Involuntary urination, Impotence. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic back pain 2) Spontaneous abortion 3) Prostate cancer 4) Systemic lupus erythematosis (SLE)",Prostate cancer,3,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Retention of urine, Blood in urine, Symptoms of prostate, Frequent urination, Involuntary urination, Impotence. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic back pain 2) Spontaneous abortion 3) Prostate cancer 4) Systemic lupus erythematosis (SLE)
Answer: Prostate cancer
Explanation: Prostate cancer is a common disease that affects the prostate gland, a small gland in the male reproductive system. It is the most common cancer in men, and it can cause a variety of symptoms, including retention of urine",3,same
"A patient is presenting with the following symptoms: Retention of urine, Blood in urine, Symptoms of prostate, Frequent urination, Involuntary urination, Impotence. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Systemic lupus erythematosis (SLE) 2) Spontaneous abortion 3) Chronic back pain 4) Prostate cancer",Prostate cancer,4,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Retention of urine, Blood in urine, Symptoms of prostate, Frequent urination, Involuntary urination, Impotence. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Systemic lupus erythematosis (SLE) 2) Spontaneous abortion 3) Chronic back pain 4) Prostate cancer
Answer: Prostate cancer
Explanation: Prostate cancer is a common disease that affects the prostate gland, a small gland in the male reproductive system. It is the most common cancer in men, and it is estimated that one in every 10 men will develop",4,same
"A patient is presenting with the following symptoms: Headache, Neck pain, Focal weakness, Diminished vision, Vomiting, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cerebral edema 2) Open wound due to trauma 3) Dysthymic disorder 4) Raynaud disease",Cerebral edema,1,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Headache, Neck pain, Focal weakness, Diminished vision, Vomiting, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cerebral edema 2) Open wound due to trauma 3) Dysthymic disorder 4) Raynaud disease
Answer: 1
Explanation: The patient is presenting with symptoms of headache, neck pain, focal weakness, diminished vision, vomiting, and difficulty speaking. These symptoms are consistent with the diagnosis of cerebral edema. Cerebral edema is a condition where",1,same
"A patient is presenting with the following symptoms: Headache, Neck pain, Focal weakness, Diminished vision, Vomiting, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound due to trauma 2) Cerebral edema 3) Raynaud disease 4) Dysthymic disorder",Cerebral edema,2,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Headache, Neck pain, Focal weakness, Diminished vision, Vomiting, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound due to trauma 2) Cerebral edema 3) Raynaud disease 4) Dysthymic disorder
Answer: 2
Explanation: The patient is presenting with symptoms of headache, neck pain, focal weakness, diminished vision, vomiting, and difficulty speaking. These symptoms are consistent with the diagnosis of cerebral edema, which is a condition where there is an accumulation",2,same
"A patient is presenting with the following symptoms: Headache, Neck pain, Focal weakness, Diminished vision, Vomiting, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound due to trauma 2) Raynaud disease 3) Cerebral edema 4) Dysthymic disorder",Cerebral edema,3,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Headache, Neck pain, Focal weakness, Diminished vision, Vomiting, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound due to trauma 2) Raynaud disease 3) Cerebral edema 4) Dysthymic disorder
Answer: 3
Explanation: The patient is presenting with symptoms of headache, neck pain, focal weakness, diminished vision, vomiting, and difficulty speaking. These symptoms are suggestive of a diagnosis of cerebral edema. Cerebral edema is a condition where",3,same
"A patient is presenting with the following symptoms: Headache, Neck pain, Focal weakness, Diminished vision, Vomiting, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dysthymic disorder 2) Raynaud disease 3) Open wound due to trauma 4) Cerebral edema",Cerebral edema,4,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Headache, Neck pain, Focal weakness, Diminished vision, Vomiting, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dysthymic disorder 2) Raynaud disease 3) Open wound due to trauma 4) Cerebral edema
Answer: 4
Explanation: The patient is presenting with symptoms of headache, neck pain, focal weakness, diminished vision, vomiting, and difficulty speaking. These symptoms are suggestive of a neurological disorder, such as a stroke. Cerebral edema is a",4,same
"A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness, Wrist pain, Difficulty speaking, Joint pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the finger 2) Foreign body in the ear 3) Open wound of the hip 4) Central retinal artery or vein occlusion",Dislocation of the finger,1,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness, Wrist pain, Difficulty speaking, Joint pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the finger 2) Foreign body in the ear 3) Open wound of the hip 4) Central retinal artery or vein occlusion
Answer: 1
Explanation: The patient is presenting with symptoms of hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, wrist pain, difficulty speaking, and joint pain. These symptoms are consistent with a diagnosis of dislocation",1,same
"A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness, Wrist pain, Difficulty speaking, Joint pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Central retinal artery or vein occlusion 2) Dislocation of the finger 3) Open wound of the hip 4) Foreign body in the ear",Dislocation of the finger,2,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness, Wrist pain, Difficulty speaking, Joint pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Central retinal artery or vein occlusion 2) Dislocation of the finger 3) Open wound of the hip 4) Foreign body in the ear
Answer: 2
Explanation: The patient is presenting with symptoms of hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, wrist pain, difficulty speaking, and joint pain. These symptoms are consistent with a diagnosis of dislocation",2,same
"A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness, Wrist pain, Difficulty speaking, Joint pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the hip 2) Central retinal artery or vein occlusion 3) Dislocation of the finger 4) Foreign body in the ear",Dislocation of the finger,3,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness, Wrist pain, Difficulty speaking, Joint pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the hip 2) Central retinal artery or vein occlusion 3) Dislocation of the finger 4) Foreign body in the ear
Answer: 3
Explanation: The patient is presenting with symptoms of hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, wrist pain, difficulty speaking, and joint pain. These symptoms are consistent with a diagnosis of dislocation",3,same
"A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness, Wrist pain, Difficulty speaking, Joint pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Foreign body in the ear 2) Open wound of the hip 3) Central retinal artery or vein occlusion 4) Dislocation of the finger",Dislocation of the finger,4,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Hand or finger stiffness or tightness, Wrist pain, Difficulty speaking, Joint pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Foreign body in the ear 2) Open wound of the hip 3) Central retinal artery or vein occlusion 4) Dislocation of the finger
Answer: 2
Explanation: The patient is presenting with symptoms of hand or finger pain, hand or finger swelling, hand or finger stiffness or tightness, wrist pain, difficulty speaking, and joint pain. These symptoms are consistent with a diagnosis of open wound",2,different
"A patient is presenting with the following symptoms: Arm stiffness or tightness, Seizures, Lack of growth, Depressive or psychotic symptoms, Nasal congestion, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Birth trauma 2) Narcolepsy 3) Overflow incontinence 4) Peripheral arterial disease",Birth trauma,1,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Arm stiffness or tightness, Seizures, Lack of growth, Depressive or psychotic symptoms, Nasal congestion, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Birth trauma 2) Narcolepsy 3) Overflow incontinence 4) Peripheral arterial disease
Answer: 2
Explanation: Narcolepsy is a chronic sleep disorder characterized by excessive daytime sleepiness, cataplexy, and sleep paralysis. It is caused by a dysfunction in the brain's ability to regulate sleep and wakefulness. The symptoms of",2,different
"A patient is presenting with the following symptoms: Arm stiffness or tightness, Seizures, Lack of growth, Depressive or psychotic symptoms, Nasal congestion, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Overflow incontinence 2) Birth trauma 3) Narcolepsy 4) Peripheral arterial disease",Birth trauma,2,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Arm stiffness or tightness, Seizures, Lack of growth, Depressive or psychotic symptoms, Nasal congestion, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Overflow incontinence 2) Birth trauma 3) Narcolepsy 4) Peripheral arterial disease
Answer: 2
Explanation: The patient is presenting with symptoms of arm stiffness or tightness, seizures, lack of growth, depressive or psychotic symptoms, nasal congestion, and difficulty speaking. These symptoms are indicative of a diagnosis of narcolepsy. Narcole",2,same
"A patient is presenting with the following symptoms: Arm stiffness or tightness, Seizures, Lack of growth, Depressive or psychotic symptoms, Nasal congestion, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Narcolepsy 2) Overflow incontinence 3) Birth trauma 4) Peripheral arterial disease",Birth trauma,3,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Arm stiffness or tightness, Seizures, Lack of growth, Depressive or psychotic symptoms, Nasal congestion, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Narcolepsy 2) Overflow incontinence 3) Birth trauma 4) Peripheral arterial disease
Answer: 2
Explanation: Narcolepsy is a sleep disorder characterized by excessive daytime sleepiness, cataplexy, and sleep paralysis. Overflow incontinence is a condition where the patient is unable to control their bladder or bowel movements. Birth trauma",2,different
"A patient is presenting with the following symptoms: Arm stiffness or tightness, Seizures, Lack of growth, Depressive or psychotic symptoms, Nasal congestion, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Narcolepsy 2) Peripheral arterial disease 3) Overflow incontinence 4) Birth trauma",Birth trauma,4,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Arm stiffness or tightness, Seizures, Lack of growth, Depressive or psychotic symptoms, Nasal congestion, Difficulty speaking. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Narcolepsy 2) Peripheral arterial disease 3) Overflow incontinence 4) Birth trauma
Answer: 2
Explanation: The patient is presenting with symptoms of peripheral arterial disease, which is a condition that affects the blood vessels in the arms and legs. It is characterized by arm stiffness or tightness, seizures, lack of growth, depressive or psychotic",2,different
"A patient is presenting with the following symptoms: Sharp abdominal pain, Vomiting, Nausea, Ache all over, Burning abdominal pain, Diarrhea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic pancreatitis 2) Congenital rubella 3) Drug abuse (opioids) 4) Diabetic retinopathy",Chronic pancreatitis,1,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Sharp abdominal pain, Vomiting, Nausea, Ache all over, Burning abdominal pain, Diarrhea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Chronic pancreatitis 2) Congenital rubella 3) Drug abuse (opioids) 4) Diabetic retinopathy
Answer: 1
Explanation: Chronic pancreatitis is a condition where the pancreas becomes inflamed and damaged, leading to symptoms such as abdominal pain, vomiting, nausea, and diarrhea. The other options are not consistent with the given symptoms.",1,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Vomiting, Nausea, Ache all over, Burning abdominal pain, Diarrhea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Diabetic retinopathy 2) Chronic pancreatitis 3) Congenital rubella 4) Drug abuse (opioids)",Chronic pancreatitis,2,6,"Given the symptoms of the patient, choose the most likely disease from the options below. Respond with the disease name only.

A patient is presenting with the following symptoms: Sharp abdominal pain, Vomiting, Nausea, Ache all over, Burning abdominal pain, Diarrhea. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Diabetic retinopathy 2) Chronic pancreatitis 3) Congenital rubella 4) Drug abuse (opioids)
Answer: 2
Explanation: Chronic pancreatitis is a condition where the pancreas becomes inflamed and damaged, leading to symptoms such as abdominal pain, vomiting, nausea, and diarrhea. The other options are not related to the given symptoms.

Given the symptoms",2,same
