Question,Answer Disease,Answer Index,Number of Symptoms,llama31b_Answer,extracted,check
"A patient is presenting with the following symptoms: Neck pain, Neck cramps or spasms, Back pain, Shoulder pain, Headache, Throat irritation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the spinal cord 2) Impetigo 3) Skin pigmentation disorder 4) Esophageal varices",Injury to the spinal cord,1,6,"1) Injury to the spinal cord
Explanation: The patient is presenting with neck pain, neck cramps or spasms, back pain, shoulder pain, headache, and throat irritation. These symptoms are suggestive of a condition that affects the musculos",1,same
"A patient is presenting with the following symptoms: Neck pain, Neck cramps or spasms, Back pain, Shoulder pain, Headache, Throat irritation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Impetigo 2) Injury to the spinal cord 3) Skin pigmentation disorder 4) Esophageal varices",Injury to the spinal cord,2,6,"2) Injury to the spinal cord
Explanation: The patient's symptoms of neck pain, neck cramps or spasms, back pain, shoulder pain, headache, and throat irritation are indicative of a spinal cord injury. The spinal cord is a",2,same
"A patient is presenting with the following symptoms: Neck pain, Neck cramps or spasms, Back pain, Shoulder pain, Headache, Throat irritation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Esophageal varices 2) Skin pigmentation disorder 3) Injury to the spinal cord 4) Impetigo",Injury to the spinal cord,3,6,"3) Injury to the spinal cord
Explanation: The patient is presenting with symptoms of neck pain, neck cramps or spasms, back pain, shoulder pain, headache, and throat irritation. These symptoms are suggestive of a condition that affects the",3,same
"A patient is presenting with the following symptoms: Neck pain, Neck cramps or spasms, Back pain, Shoulder pain, Headache, Throat irritation. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Skin pigmentation disorder 2) Impetigo 3) Esophageal varices 4) Injury to the spinal cord",Injury to the spinal cord,4,6,"4) Injury to the spinal cord
Explanation: The patient is presenting with symptoms of neck pain, neck cramps or spasms, back pain, shoulder pain, headache, and throat irritation. These symptoms are consistent with a spinal cord injury,",4,same
"A patient is presenting with the following symptoms: Nasal congestion, Headache, Nosebleed, Painful sinuses, Cough, Difficulty breathing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Nasal polyp 2) Diabetic retinopathy 3) Injury to the leg 4) Open wound of the shoulder",Nasal polyp,1,6,"1) Nasal polyp
Explanation: The patient is presenting with symptoms of nasal congestion, headache, nosebleed, painful sinuses, cough, and difficulty breathing. These symptoms are most consistent with a nasal polyp, which is a",1,same
"A patient is presenting with the following symptoms: Nasal congestion, Headache, Nosebleed, Painful sinuses, Cough, Difficulty breathing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the leg 2) Nasal polyp 3) Diabetic retinopathy 4) Open wound of the shoulder",Nasal polyp,2,6,"2) Nasal polyp
Explanation: The patient is presenting with symptoms of nasal congestion, headache, nosebleed, painful sinuses, cough, and difficulty breathing. These symptoms are most consistent with a nasal polyp, which is a",2,same
"A patient is presenting with the following symptoms: Nasal congestion, Headache, Nosebleed, Painful sinuses, Cough, Difficulty breathing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Injury to the leg 2) Diabetic retinopathy 3) Nasal polyp 4) Open wound of the shoulder",Nasal polyp,3,6,"3) Nasal polyp
Explanation: The patient is presenting with symptoms of nasal congestion, headache, nosebleed, painful sinuses, cough, and difficulty breathing. These symptoms are most consistent with a nasal polyp, which is a",3,same
"A patient is presenting with the following symptoms: Nasal congestion, Headache, Nosebleed, Painful sinuses, Cough, Difficulty breathing. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Diabetic retinopathy 2) Open wound of the shoulder 3) Injury to the leg 4) Nasal polyp",Nasal polyp,4,6,"4) Nasal polyp
Explanation: The patient is presenting with symptoms of nasal congestion, headache, nosebleed, painful sinuses, cough, and difficulty breathing. These symptoms are most consistent with a nasal polyp, which is a",4,same
"A patient is presenting with the following symptoms: Skin rash, Itching of skin, Skin lesion, Skin irritation, Acne or pimples, Vaginal itching. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lichen simplex 2) Alcoholic liver disease 3) Acute bronchitis 4) Impulse control disorder",Lichen simplex,1,6,"1) Lichen simplex
Explanation: Lichen simplex is a condition characterized by chronic itching and scratching of the skin, leading to skin thickening and lesions. The symptoms described in the patient's presentation are consistent with lichen simplex, making it",1,same
"A patient is presenting with the following symptoms: Skin rash, Itching of skin, Skin lesion, Skin irritation, Acne or pimples, Vaginal itching. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Impulse control disorder 2) Lichen simplex 3) Acute bronchitis 4) Alcoholic liver disease",Lichen simplex,2,6,"2) Lichen simplex
Explanation: Lichen simplex is a condition characterized by chronic itching and scratching of the skin, leading to skin irritation and lesions. The symptoms described in the patient's presentation are consistent with lichen simplex, making it the",2,same
"A patient is presenting with the following symptoms: Skin rash, Itching of skin, Skin lesion, Skin irritation, Acne or pimples, Vaginal itching. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Impulse control disorder 2) Alcoholic liver disease 3) Lichen simplex 4) Acute bronchitis",Lichen simplex,3,6,"3) Lichen simplex
Explanation: Lichen simplex is a condition characterized by chronic itching and scratching of the skin, leading to skin irritation and lesions. The symptoms described in the patient's presentation are consistent with lichen simplex, making it the",3,same
"A patient is presenting with the following symptoms: Skin rash, Itching of skin, Skin lesion, Skin irritation, Acne or pimples, Vaginal itching. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Alcoholic liver disease 2) Acute bronchitis 3) Impulse control disorder 4) Lichen simplex",Lichen simplex,4,6,"4) Lichen simplex
Explanation: Lichen simplex chronicus is a skin condition characterized by chronic itching and scratching, leading to thickening of the skin. The symptoms of skin rash, itching of skin, skin lesion, skin irritation, acne",4,same
"A patient is presenting with the following symptoms: Foreign body sensation in eye, Eyelid lesion or rash, Diminished vision, Symptoms of eye, Itchiness of eye, Pain in eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Trichiasis 2) Lateral epicondylitis (tennis elbow) 3) VACTERL syndrome 4) Rhabdomyolysis",Trichiasis,1,6,"1) Trichiasis
Explanation: Trichiasis is a condition where eyelashes grow inward toward the eyeball, causing discomfort, pain, and vision problems. The symptoms of foreign body sensation, eyelid lesion or rash, diminished",1,same
"A patient is presenting with the following symptoms: Foreign body sensation in eye, Eyelid lesion or rash, Diminished vision, Symptoms of eye, Itchiness of eye, Pain in eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Rhabdomyolysis 2) Trichiasis 3) Lateral epicondylitis (tennis elbow) 4) VACTERL syndrome",Trichiasis,2,6,"2) Trichiasis
Explanation: Trichiasis is a condition where eyelashes grow inward toward the eye, causing discomfort, pain, and vision problems. The symptoms of foreign body sensation, eyelid lesion or rash, diminished vision",2,same
"A patient is presenting with the following symptoms: Foreign body sensation in eye, Eyelid lesion or rash, Diminished vision, Symptoms of eye, Itchiness of eye, Pain in eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) VACTERL syndrome 2) Lateral epicondylitis (tennis elbow) 3) Trichiasis 4) Rhabdomyolysis",Trichiasis,3,6,"3) Trichiasis
Explanation: Trichiasis is a condition where eyelashes grow inward toward the eye, causing discomfort, pain, and vision problems. The symptoms of foreign body sensation, eyelid lesion or rash, diminished vision",3,same
"A patient is presenting with the following symptoms: Foreign body sensation in eye, Eyelid lesion or rash, Diminished vision, Symptoms of eye, Itchiness of eye, Pain in eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) VACTERL syndrome 2) Lateral epicondylitis (tennis elbow) 3) Rhabdomyolysis 4) Trichiasis",Trichiasis,4,6,"4) Trichiasis
Explanation: Trichiasis is a condition where eyelashes grow inward toward the eye, causing discomfort, pain, and vision problems. The symptoms of foreign body sensation, eyelid lesion or rash, diminished vision",4,same
"A patient is presenting with the following symptoms: Skin rash, Itching of skin, Swelling of scrotum, Skin lesion, Vomiting, Elbow weakness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Acariasis 2) Pain disorder affecting the neck 3) Fracture of the facial bones 4) Smoking or tobacco addiction",Acariasis,1,6,"1) Acariasis
Explanation: The patient is presenting with symptoms of skin rash, itching of skin, swelling of scrotum, skin lesion, vomiting, and elbow weakness. These symptoms are suggestive of scabies, which is caused by",1,same
"A patient is presenting with the following symptoms: Skin rash, Itching of skin, Swelling of scrotum, Skin lesion, Vomiting, Elbow weakness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fracture of the facial bones 2) Acariasis 3) Pain disorder affecting the neck 4) Smoking or tobacco addiction",Acariasis,2,6,"2) Acariasis
Explanation: The patient is presenting with symptoms of skin rash, itching of skin, swelling of scrotum, skin lesion, vomiting, and elbow weakness. These symptoms are suggestive of scabies, which is caused by",2,same
"A patient is presenting with the following symptoms: Skin rash, Itching of skin, Swelling of scrotum, Skin lesion, Vomiting, Elbow weakness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pain disorder affecting the neck 2) Fracture of the facial bones 3) Acariasis 4) Smoking or tobacco addiction",Acariasis,3,6,"3) Acariasis
Explanation: The patient is presenting with symptoms of skin rash, itching of skin, swelling of scrotum, skin lesion, vomiting, and elbow weakness. These symptoms are suggestive of scabies, which is caused by",3,same
"A patient is presenting with the following symptoms: Skin rash, Itching of skin, Swelling of scrotum, Skin lesion, Vomiting, Elbow weakness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pain disorder affecting the neck 2) Smoking or tobacco addiction 3) Fracture of the facial bones 4) Acariasis",Acariasis,4,6,"4) Acariasis
Explanation: The patient is presenting with symptoms of skin rash, itching of skin, swelling of scrotum, skin lesion, vomiting, and elbow weakness. These symptoms are suggestive of scabies, which is a paras",4,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Rectal bleeding, Blood in stool, Pain of the anus, Mass or swelling around the anus, Drainage in throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Colorectal cancer 2) Dislocation of the ankle 3) Pick disease 4) Encephalitis",Colorectal cancer,1,6,"1) Colorectal cancer
Explanation: The patient is presenting with symptoms of sharp abdominal pain, rectal bleeding, blood in stool, pain of the anus, mass or swelling around the anus, and drainage in throat. These symptoms are suggestive",1,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Rectal bleeding, Blood in stool, Pain of the anus, Mass or swelling around the anus, Drainage in throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pick disease 2) Colorectal cancer 3) Dislocation of the ankle 4) Encephalitis",Colorectal cancer,2,6,"2) Colorectal cancer
Explanation: The symptoms described are consistent with colorectal cancer. Colorectal cancer can cause sharp abdominal pain, rectal bleeding, blood in stool, pain of the anus, mass or swelling around the anus,",2,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Rectal bleeding, Blood in stool, Pain of the anus, Mass or swelling around the anus, Drainage in throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pick disease 2) Dislocation of the ankle 3) Colorectal cancer 4) Encephalitis",Colorectal cancer,3,6,"3) Colorectal cancer
Explanation: The symptoms described are suggestive of colorectal cancer. Sharp abdominal pain, rectal bleeding, blood in stool, pain of the anus, mass or swelling around the anus, and drainage in the throat are",3,same
"A patient is presenting with the following symptoms: Sharp abdominal pain, Rectal bleeding, Blood in stool, Pain of the anus, Mass or swelling around the anus, Drainage in throat. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Dislocation of the ankle 2) Pick disease 3) Encephalitis 4) Colorectal cancer",Colorectal cancer,4,6,"4) Colorectal cancer
Explanation: The symptoms described are suggestive of colorectal cancer. Sharp abdominal pain, rectal bleeding, blood in stool, pain of the anus, mass or swelling around the anus, and drainage in the throat are",4,same
"A patient is presenting with the following symptoms: Abnormal appearing skin, Skin rash, Skin lesion, Skin moles, Acne or pimples, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Skin pigmentation disorder 2) Open wound of the mouth 3) Blepharitis 4) Friedrich ataxia",Skin pigmentation disorder,1,6,"1) Skin pigmentation disorder
Explanation: The patient is presenting with symptoms related to the skin, such as skin rash, skin lesion, skin moles, acne or pimples, and skin growth. These symptoms are most commonly associated with skin",1,same
"A patient is presenting with the following symptoms: Abnormal appearing skin, Skin rash, Skin lesion, Skin moles, Acne or pimples, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Friedrich ataxia 2) Skin pigmentation disorder 3) Blepharitis 4) Open wound of the mouth",Skin pigmentation disorder,2,6,"2) Skin pigmentation disorder
Explanation: The patient is presenting with symptoms related to the skin, such as skin rash, skin lesion, skin moles, acne or pimples, and skin growth. These symptoms are most consistent with a skin",2,same
"A patient is presenting with the following symptoms: Abnormal appearing skin, Skin rash, Skin lesion, Skin moles, Acne or pimples, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Friedrich ataxia 2) Open wound of the mouth 3) Skin pigmentation disorder 4) Blepharitis",Skin pigmentation disorder,3,6,"3) Skin pigmentation disorder
Explanation: The patient is presenting with symptoms related to the skin, such as skin rash, skin lesion, skin moles, acne or pimples, and skin growth. These symptoms are most consistent with a skin",3,same
"A patient is presenting with the following symptoms: Abnormal appearing skin, Skin rash, Skin lesion, Skin moles, Acne or pimples, Skin growth. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the mouth 2) Blepharitis 3) Friedrich ataxia 4) Skin pigmentation disorder",Skin pigmentation disorder,4,6,"4) Skin pigmentation disorder
Explanation: The patient is presenting with symptoms related to the skin, including abnormal skin appearance, skin rash, skin lesions, skin moles, acne or pimples, and skin growth. These symptoms are most consistent",4,same
"A patient is presenting with the following symptoms: Disturbance of memory, Depressive or psychotic symptoms, Depression, Loss of sensation, Paresthesia, Lip swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Factitious disorder 2) Cushing syndrome 3) Endometrial hyperplasia 4) Hirschsprung disease",Factitious disorder,1,6,"1) Factitious disorder
Explanation: The patient's symptoms are suggestive of a factitious disorder. The patient is presenting with a combination of physical and psychological symptoms, including memory disturbance, depressive or psychotic symptoms, depression, loss of sensation, p",1,same
"A patient is presenting with the following symptoms: Disturbance of memory, Depressive or psychotic symptoms, Depression, Loss of sensation, Paresthesia, Lip swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Hirschsprung disease 2) Factitious disorder 3) Cushing syndrome 4) Endometrial hyperplasia",Factitious disorder,2,6,"2) Factitious disorder
Explanation: The patient's symptoms are suggestive of a factitious disorder. The patient is presenting with a combination of physical and psychological symptoms, including memory disturbance, depressive or psychotic symptoms, depression, loss of sensation, p",2,same
"A patient is presenting with the following symptoms: Disturbance of memory, Depressive or psychotic symptoms, Depression, Loss of sensation, Paresthesia, Lip swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Endometrial hyperplasia 2) Cushing syndrome 3) Factitious disorder 4) Hirschsprung disease",Factitious disorder,3,6,"2) Cushing syndrome
Explanation: Cushing syndrome is a condition caused by excess levels of cortisol in the body. The symptoms of Cushing syndrome include weight gain, particularly in the midsection of the body, high blood pressure, and a",2,different
"A patient is presenting with the following symptoms: Disturbance of memory, Depressive or psychotic symptoms, Depression, Loss of sensation, Paresthesia, Lip swelling. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cushing syndrome 2) Hirschsprung disease 3) Endometrial hyperplasia 4) Factitious disorder",Factitious disorder,4,6,"1) Cushing syndrome
Explanation: Cushing syndrome is a condition caused by excess levels of cortisol in the body. The symptoms of Cushing syndrome include weight gain, particularly in the midsection of the body, high blood pressure, and a",1,different
"A patient is presenting with the following symptoms: Sore throat, Nosebleed, Fever, Chills, Ear pain, Vulvar sore. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Lymphogranuloma venereum 2) Liver cancer 3) Pancreatic cancer 4) Pyogenic skin infection",Lymphogranuloma venereum,1,6,"1) Lymphogranuloma venereum
Explanation: Lymphogranuloma venereum (LGV) is a sexually transmitted infection caused by Chlamydia trachomatis. The symptoms of LGV can include a",1,same
"A patient is presenting with the following symptoms: Sore throat, Nosebleed, Fever, Chills, Ear pain, Vulvar sore. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pyogenic skin infection 2) Lymphogranuloma venereum 3) Pancreatic cancer 4) Liver cancer",Lymphogranuloma venereum,2,6,"2) Lymphogranuloma venereum
Explanation: Lymphogranuloma venereum (LGV) is a sexually transmitted infection caused by Chlamydia trachomatis. The symptoms of LGV can include a",2,same
"A patient is presenting with the following symptoms: Sore throat, Nosebleed, Fever, Chills, Ear pain, Vulvar sore. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pancreatic cancer 2) Pyogenic skin infection 3) Lymphogranuloma venereum 4) Liver cancer",Lymphogranuloma venereum,3,6,"3) Lymphogranuloma venereum
Explanation: Lymphogranuloma venereum (LGV) is a sexually transmitted infection caused by Chlamydia trachomatis. The symptoms of LGV can include a",3,same
"A patient is presenting with the following symptoms: Sore throat, Nosebleed, Fever, Chills, Ear pain, Vulvar sore. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pyogenic skin infection 2) Liver cancer 3) Pancreatic cancer 4) Lymphogranuloma venereum",Lymphogranuloma venereum,4,6,"4) Lymphogranuloma venereum
Explanation: Lymphogranuloma venereum (LGV) is a sexually transmitted infection caused by Chlamydia trachomatis. The symptoms of LGV can include a",4,same
"A patient is presenting with the following symptoms: Bleeding or discharge from nipple, Pain or soreness of breast, Pelvic pain, Weight gain, Anxiety and nervousness, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Galactorrhea of unknown cause 2) Missed abortion 3) Heat stroke 4) Appendicitis",Galactorrhea of unknown cause,1,6,"2) Missed abortion
Explanation: The patient is presenting with symptoms of bleeding or discharge from the nipple, pain or soreness of the breast, pelvic pain, weight gain, anxiety and nervousness, and back pain. These symptoms are suggestive",2,different
"A patient is presenting with the following symptoms: Bleeding or discharge from nipple, Pain or soreness of breast, Pelvic pain, Weight gain, Anxiety and nervousness, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Heat stroke 2) Galactorrhea of unknown cause 3) Missed abortion 4) Appendicitis",Galactorrhea of unknown cause,2,6,"3) Missed abortion
Explanation: The patient is presenting with symptoms of bleeding or discharge from the nipple, pain or soreness of the breast, pelvic pain, weight gain, anxiety and nervousness, and back pain. These symptoms are suggestive",3,different
"A patient is presenting with the following symptoms: Bleeding or discharge from nipple, Pain or soreness of breast, Pelvic pain, Weight gain, Anxiety and nervousness, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Appendicitis 2) Heat stroke 3) Galactorrhea of unknown cause 4) Missed abortion",Galactorrhea of unknown cause,3,6,"3) Galactorrhea of unknown cause. Galactorrhea is a condition characterized by the spontaneous flow of milk from the breast, which can be caused by hormonal imbalances. The symptoms listed, such as bleeding or discharge from the nipple",3,same
"A patient is presenting with the following symptoms: Bleeding or discharge from nipple, Pain or soreness of breast, Pelvic pain, Weight gain, Anxiety and nervousness, Back pain. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Appendicitis 2) Heat stroke 3) Missed abortion 4) Galactorrhea of unknown cause",Galactorrhea of unknown cause,4,6,"4) Galactorrhea of unknown cause
Explanation: The symptoms of the patient include bleeding or discharge from the nipple, pain or soreness of the breast, pelvic pain, weight gain, anxiety and nervousness, and back pain. These",4,same
"A patient is presenting with the following symptoms: Cough, Nasal congestion, Excessive growth, Wrist weakness, Elbow weakness, Elbow cramps or spasms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) G6PD enzyme deficiency 2) Ovarian cyst 3) Atrial flutter 4) Gynecomastia",G6PD enzyme deficiency,1,6,"1) G6PD enzyme deficiency
Explanation: The patient's symptoms of cough, nasal congestion, and excessive growth are suggestive of a condition that affects the body's ability to produce red blood cells. The symptoms of wrist and elbow weakness, as",1,same
"A patient is presenting with the following symptoms: Cough, Nasal congestion, Excessive growth, Wrist weakness, Elbow weakness, Elbow cramps or spasms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Atrial flutter 2) G6PD enzyme deficiency 3) Ovarian cyst 4) Gynecomastia",G6PD enzyme deficiency,2,6,"1) Atrial flutter
Explanation: The patient's symptoms of cough, nasal congestion, and excessive growth are suggestive of hypothyroidism. The symptoms of wrist and elbow weakness, and elbow cramps or spasms are suggestive of myast",1,different
"A patient is presenting with the following symptoms: Cough, Nasal congestion, Excessive growth, Wrist weakness, Elbow weakness, Elbow cramps or spasms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ovarian cyst 2) Gynecomastia 3) G6PD enzyme deficiency 4) Atrial flutter",G6PD enzyme deficiency,3,6,"2) Gynecomastia
Explanation: Gynecomastia is a condition characterized by the enlargement of breast tissue in males. It can be caused by an imbalance of hormones, particularly an excess of estrogen relative to testosterone. Symptoms of",2,different
"A patient is presenting with the following symptoms: Cough, Nasal congestion, Excessive growth, Wrist weakness, Elbow weakness, Elbow cramps or spasms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Ovarian cyst 2) Gynecomastia 3) Atrial flutter 4) G6PD enzyme deficiency",G6PD enzyme deficiency,4,6,"2) Gynecomastia
Explanation: Gynecomastia is a condition characterized by the enlargement of breast tissue in males. It can be caused by an imbalance of hormones, particularly an excess of estrogen relative to testosterone. Symptoms of",2,different
"A patient is presenting with the following symptoms: Shoulder pain, Knee pain, Neck pain, Arm pain, Shoulder stiffness or tightness, Problems with movement. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Nerve impingement near the shoulder 2) Drug abuse (cocaine) 3) Primary immunodeficiency 4) Omphalitis",Nerve impingement near the shoulder,1,6,"1) Nerve impingement near the shoulder. 

Reasoning Skill for Scientific Evidence Evaluation: 
This question requires the ability to analyze symptoms and correlate them with potential diseases. The patient's symptoms of shoulder, knee, neck, and arm",1,same
"A patient is presenting with the following symptoms: Shoulder pain, Knee pain, Neck pain, Arm pain, Shoulder stiffness or tightness, Problems with movement. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Primary immunodeficiency 2) Nerve impingement near the shoulder 3) Drug abuse (cocaine) 4) Omphalitis",Nerve impingement near the shoulder,2,6,"2) Nerve impingement near the shoulder
Explanation: The patient is presenting with pain and stiffness in multiple joints, including the shoulders and knees, as well as problems with movement. These symptoms are most consistent with nerve impingement near",2,same
"A patient is presenting with the following symptoms: Shoulder pain, Knee pain, Neck pain, Arm pain, Shoulder stiffness or tightness, Problems with movement. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Omphalitis 2) Primary immunodeficiency 3) Nerve impingement near the shoulder 4) Drug abuse (cocaine)",Nerve impingement near the shoulder,3,6,"3) Nerve impingement near the shoulder
Explanation: The patient is presenting with pain and stiffness in multiple joints, including the shoulders, knees, and neck. These symptoms are suggestive of nerve impingement near the shoulder, which can",3,same
"A patient is presenting with the following symptoms: Shoulder pain, Knee pain, Neck pain, Arm pain, Shoulder stiffness or tightness, Problems with movement. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Omphalitis 2) Primary immunodeficiency 3) Drug abuse (cocaine) 4) Nerve impingement near the shoulder",Nerve impingement near the shoulder,4,6,"4) Nerve impingement near the shoulder
Explanation: The patient is presenting with pain and stiffness in multiple joints, including the shoulders, knees, and neck. These symptoms are suggestive of nerve impingement near the shoulder, which can",4,same
"A patient is presenting with the following symptoms: Eye redness, Diminished vision, Itchy scalp, Blindness, Irregular appearing scalp, Elbow weakness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Toxoplasmosis 2) Valley fever 3) Aphthous ulcer 4) Liver cancer",Toxoplasmosis,1,6,"2) Valley fever
Explanation: Valley fever is a fungal infection caused by Coccidioides immitis. The symptoms of valley fever include eye redness, diminished vision, itchy scalp, and irregular appearing scalp. Valley fever can",2,different
"A patient is presenting with the following symptoms: Eye redness, Diminished vision, Itchy scalp, Blindness, Irregular appearing scalp, Elbow weakness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Valley fever 2) Toxoplasmosis 3) Liver cancer 4) Aphthous ulcer",Toxoplasmosis,2,6,"1) Valley fever
Explanation: Valley fever is a fungal infection caused by Coccidioides immitis. The symptoms of valley fever include eye redness, diminished vision, itchy scalp, blindness, irregular appearing scalp, and elbow",1,different
"A patient is presenting with the following symptoms: Eye redness, Diminished vision, Itchy scalp, Blindness, Irregular appearing scalp, Elbow weakness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Valley fever 2) Liver cancer 3) Toxoplasmosis 4) Aphthous ulcer",Toxoplasmosis,3,6,"1) Valley fever
Explanation: Valley fever is a fungal infection caused by Coccidioides immitis. The symptoms of valley fever include eye redness, diminished vision, itchy scalp, blindness, irregular appearing scalp, and elbow",1,different
"A patient is presenting with the following symptoms: Eye redness, Diminished vision, Itchy scalp, Blindness, Irregular appearing scalp, Elbow weakness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Aphthous ulcer 2) Liver cancer 3) Valley fever 4) Toxoplasmosis",Toxoplasmosis,4,6,"2) Liver cancer
Explanation: The patient's symptoms are suggestive of a systemic disease that has metastasized to the eye and the brain. The patient's eye redness and diminished vision are indicative of metastatic disease to the eye. The",2,different
"A patient is presenting with the following symptoms: Lump or mass of breast, Pain or soreness of breast, Bleeding or discharge from nipple, Arm lump or mass, Bones are painful, Problems with shape or size of breast. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Fibroadenoma 2) Meningioma 3) Glaucoma 4) Behcet disease",Fibroadenoma,1,6,"1) Fibroadenoma
Explanation: Fibroadenoma is a benign tumor of the breast that can cause a lump or mass, pain or soreness, and changes in the shape or size of the breast. It is the most likely",1,same
"A patient is presenting with the following symptoms: Lump or mass of breast, Pain or soreness of breast, Bleeding or discharge from nipple, Arm lump or mass, Bones are painful, Problems with shape or size of breast. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Meningioma 2) Fibroadenoma 3) Behcet disease 4) Glaucoma",Fibroadenoma,2,6,"2) Fibroadenoma
Explanation: Fibroadenoma is a benign tumor of the breast that can cause a lump or mass, pain or soreness, and changes in the shape or size of the breast. It is the most likely",2,same
"A patient is presenting with the following symptoms: Lump or mass of breast, Pain or soreness of breast, Bleeding or discharge from nipple, Arm lump or mass, Bones are painful, Problems with shape or size of breast. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Behcet disease 2) Meningioma 3) Fibroadenoma 4) Glaucoma",Fibroadenoma,3,6,"1) Behcet disease
Explanation: The symptoms described are suggestive of breast cancer. Behcet disease is a form of vasculitis that can cause breast cancer. Meningioma is a type of brain tumor. Fibroaden",1,different
"A patient is presenting with the following symptoms: Lump or mass of breast, Pain or soreness of breast, Bleeding or discharge from nipple, Arm lump or mass, Bones are painful, Problems with shape or size of breast. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Behcet disease 2) Glaucoma 3) Meningioma 4) Fibroadenoma",Fibroadenoma,4,6,"4) Fibroadenoma
Explanation: Fibroadenoma is a benign tumor of the breast that can cause a lump or mass, pain or soreness, and changes in the shape or size of the breast. It is the most likely",4,same
"A patient is presenting with the following symptoms: Hand or finger pain, Hand or finger swelling, Skin on arm or hand looks infected, Hand tightness, Hand stiffness, bleeding. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Open wound of the hand 2) Teething syndrome 3) Vocal cord polyp 4) Intestinal cancer",Open wound of the hand,1,6,"1) Open wound of the hand
Explanation: The patient is presenting with symptoms of hand or finger pain, swelling, and bleeding, which are indicative of an open wound. The presence of an infected skin on the arm or hand further supports this",1,same
